Held_Out_Domain,Test_Samples,Accuracy,Balanced_Accuracy,MCC,Macro_F1,Weighted_F1
NB-IoT,10296,0.947066822066822,0.746796942683118,0.8357786082313229,0.7453433368598782,0.9456658495078903
LoRaWAN,10286,0.9453626288158662,0.7494761520688307,0.833330581490059,0.7490997806500317,0.9440547669927302
MQTT,10207,0.8496130106789458,0.2619446453562494,0.5340428684635252,0.23867164034858343,0.8436799869823749
BLE,10180,0.944302554027505,0.752232764493866,0.8336756455252906,0.7477122032423988,0.942590010801006
HTTP,10073,0.9458949667427777,0.7494376528041656,0.8316670732155346,0.7477291211894074,0.9444866820427879
CoAP,10306,0.9503202018241801,0.7495676268480048,0.843324763059744,0.7493836358694561,0.9490395652760315
Zigbee,10283,0.9491393562190023,0.7527005336508071,0.8388570877386453,0.7527590428163943,0.9477440238102033
