Held_Out_Domain,Test_Samples,Accuracy,Balanced_Accuracy,MCC,Macro_F1,Weighted_F1
smart_city,10084,0.9428798095993653,0.738090094816543,0.8288563014620224,0.7377745379551914,0.9414862696666633
autonomous_vehicle,10126,0.945684376851669,0.740475377391786,0.8291025798360785,0.7374205053254042,0.9442838747341685
smart_home,10294,0.9447250825723723,0.7480447648253834,0.8286981629001027,0.7392178745850883,0.9424413095187028
energy_grid,10276,0.9361619307123394,0.7121133621730882,0.8062560745026315,0.7104300436133139,0.9350764886295511
smart_healthcare,10381,0.9476929004912822,0.7448534816806432,0.836274838654971,0.7379721688026148,0.9452222358983723
industrial_iot,10187,0.9486600569353097,0.7585628319394229,0.8411860273930567,0.757955510163143,0.9470947103173001
smart_agriculture,10283,0.9502090829524458,0.7523523333103258,0.8424936797906224,0.7509199017321484,0.9486253231024725
